Frequency (nm),Sample,Shapiro w,Shapiro p,Skewness,Kurtosis
900.656,H,0.882723416,5.34E-50,1.615172439,3.884370943
905.393,H,0.883232955,6.33E-50,1.620730145,3.990548004
910.129,H,0.881533124,3.61E-50,1.638878529,4.097894242
914.866,H,0.871314904,1.40E-51,1.720712296,4.683022478
919.602,H,0.867933017,5.00E-52,1.707097928,4.301056353
924.339,H,0.864341401,1.72E-52,1.731620967,4.416996723
929.075,H,0.863538997,1.36E-52,1.740002144,4.510627386
933.812,H,0.864886287,2.01E-52,1.723477953,4.434162396
938.549,H,0.867525591,4.42E-52,1.690499961,4.236583635
943.285,H,0.877702479,1.04E-50,1.532628951,3.070089724
948.022,H,0.881247276,3.28E-50,1.476796004,2.726042278
952.758,H,0.871380015,1.43E-51,1.60793577,3.615253749
957.495,H,0.867709146,4.67E-52,1.646305797,3.843821589
962.231,H,0.862986126,1.15E-52,1.691606012,4.052806155
966.968,H,0.859539777,4.26E-53,1.730327359,4.289937754
971.704,H,0.859983634,4.84E-53,1.73210398,4.306185986
976.441,H,0.863919342,1.52E-52,1.697100884,4.119858928
981.178,H,0.866859938,3.62E-52,1.684072976,4.158630338
985.914,H,0.866352545,3.11E-52,1.706572417,4.388135638
990.651,H,0.865603157,2.49E-52,1.728266927,4.575752409
995.387,H,0.864073263,1.59E-52,1.746373437,4.714760808
1000.12,H,0.863028219,1.17E-52,1.757084938,4.748394036
1004.86,H,0.861788239,8.14E-53,1.769445036,4.836663613
1009.6,H,0.861083302,6.64E-53,1.777192647,4.85785437
1014.33,H,0.861271119,7.01E-53,1.774317037,4.83537448
1019.07,H,0.86069022,5.93E-53,1.780479519,4.862867888
1023.81,H,0.860375873,5.42E-53,1.777585308,4.828654992
1028.54,H,0.860428376,5.50E-53,1.781269347,4.860925466
1033.28,H,0.860006217,4.87E-53,1.783046198,4.859440558
1038.02,H,0.860289893,5.28E-53,1.780607306,4.851205024
1042.75,H,0.862796476,1.09E-52,1.741878254,4.508113102
1047.49,H,0.866507192,3.26E-52,1.686177187,4.077284326
1052.23,H,0.866140399,2.92E-52,1.694930047,4.212226621
1056.96,H,0.862831096,1.10E-52,1.743475502,4.643501515
1061.7,H,0.859117367,3.78E-53,1.771038254,4.69638749
1066.44,H,0.85290883,6.63E-54,1.826987805,4.974514308
1071.17,H,0.8487157,2.12E-54,1.870281069,5.241430924
1075.91,H,0.850960786,3.89E-54,1.85258292,5.129205258
1080.65,H,0.857084684,2.12E-53,1.782303807,4.643604696
1085.38,H,0.86463409,1.87E-52,1.707714293,4.187089503
1090.12,H,0.86996383,9.24E-52,1.660084362,3.967550145
1094.85,H,0.869766032,8.70E-52,1.650964426,3.909290262
1099.59,H,0.871336504,1.41E-51,1.64766765,3.927387114
1104.33,H,0.872375438,1.94E-51,1.632597888,3.805994801
1109.06,H,0.872173887,1.82E-51,1.630062162,3.761289985
1113.8,H,0.872553628,2.05E-51,1.619102616,3.711205373
1118.54,H,0.872088587,1.77E-51,1.621986584,3.715109359
1123.27,H,0.871325724,1.40E-51,1.612305252,3.611607363
1128.01,H,0.872709537,2.15E-51,1.595935309,3.518761839
1132.75,H,0.87171323,1.58E-51,1.594223624,3.481153691
1137.48,H,0.870954418,1.25E-51,1.592673919,3.445530309
1142.22,H,0.870246276,1.01E-51,1.59218493,3.424813282
1146.96,H,0.868749511,6.39E-52,1.605166814,3.476922645
1151.69,H,0.868318285,5.61E-52,1.606296142,3.46807386
1156.43,H,0.866684645,3.44E-52,1.612452828,3.465943663
1161.17,H,0.866455134,3.21E-52,1.613895377,3.473494351
1165.9,H,0.86611964,2.90E-52,1.611066511,3.438441402
1170.64,H,0.865245893,2.24E-52,1.620699818,3.491076378
1175.38,H,0.864755323,1.94E-52,1.626572495,3.516108896
1180.11,H,0.863509302,1.34E-52,1.639563377,3.598993315
1184.85,H,0.863439806,1.32E-52,1.645747025,3.653242223
1189.59,H,0.863398919,1.30E-52,1.641472949,3.625349006
1194.32,H,0.864076715,1.59E-52,1.631458588,3.578244907
1199.06,H,0.863721566,1.43E-52,1.630999485,3.574566867
1203.8,H,0.864418182,1.75E-52,1.620720621,3.522311586
1208.53,H,0.865622242,2.50E-52,1.605536158,3.451510613
1213.27,H,0.865954663,2.76E-52,1.593841094,3.379500804
1218.01,H,0.865698183,2.56E-52,1.593853731,3.369189691
1222.74,H,0.8665274,3.28E-52,1.585729752,3.326894994
1227.48,H,0.866463947,3.22E-52,1.586731788,3.326873916
1232.22,H,0.866812833,3.57E-52,1.584389978,3.321426187
1236.95,H,0.865991381,2.80E-52,1.590462021,3.334583063
1241.69,H,0.865718685,2.58E-52,1.600865969,3.40804133
1246.42,H,0.866492627,3.25E-52,1.59927438,3.434586901
1251.16,H,0.866635968,3.39E-52,1.600385264,3.42935037
1255.9,H,0.866587101,3.34E-52,1.603821423,3.469048009
1260.63,H,0.866212287,2.99E-52,1.607384293,3.484360889
1265.37,H,0.865943586,2.76E-52,1.607162048,3.470233097
1270.11,H,0.865280543,2.26E-52,1.60477498,3.42834891
1274.84,H,0.866831696,3.59E-52,1.596500998,3.404754414
1279.58,H,0.86618332,2.96E-52,1.599737837,3.410225061
1284.32,H,0.866786006,3.54E-52,1.599969268,3.44857163
1289.05,H,0.867138203,3.94E-52,1.597862198,3.435207433
1293.79,H,0.867536464,4.43E-52,1.594013616,3.42973536
1298.53,H,0.868821195,6.53E-52,1.581745076,3.365777046
1303.26,H,0.867465749,4.34E-52,1.5878814,3.401210679
1308,H,0.867108696,3.90E-52,1.58886568,3.40496455
1312.74,H,0.865975458,2.78E-52,1.601299725,3.496685875
1317.47,H,0.865871087,2.70E-52,1.597430739,3.488969493
1322.21,H,0.866473141,3.23E-52,1.593184802,3.478190158
1326.95,H,0.86498145,2.07E-52,1.604094324,3.571836039
1331.68,H,0.862778592,1.09E-52,1.606600359,3.549202579
1336.42,H,0.860892714,6.28E-53,1.612066364,3.56724278
1341.16,H,0.856277967,1.69E-53,1.646728841,3.769877101
1345.89,H,0.852198989,5.46E-54,1.677448336,3.983907484
1350.63,H,0.849931582,2.94E-54,1.69880703,4.093388804
1355.37,H,0.845186137,8.29E-55,1.730098854,4.241464557
1360.1,H,0.841905244,3.51E-55,1.752839584,4.340539762
1364.84,H,0.840380084,2.37E-55,1.768831786,4.393770836
1369.58,H,0.838690615,1.54E-55,1.792083816,4.547087754
1374.31,H,0.832144223,2.98E-56,1.88956453,5.363475554
1379.05,H,0.824421598,4.61E-57,1.964225818,5.765135199
1383.79,H,0.815136104,5.33E-58,2.026209042,6.019043409
1388.52,H,0.807693754,1.01E-58,2.108593708,6.661107535
1393.26,H,0.801735405,2.76E-59,2.134942508,6.683168071
1397.99,H,0.796098661,8.37E-60,2.21654645,7.438654912
1402.73,H,0.792815616,4.23E-60,2.223304655,7.410188324
1407.47,H,0.789879669,2.31E-60,2.234616329,7.503594483
