Frequency (nm),Sample,Lower_CI,Central,Upper_CI,Deviation
900.656,H,10.852713,25.81726,63.09013,13.98188527
905.393,H,11.358575,26.218804,63.255817,13.89833501
910.129,H,11.088296,26.23424,64.176244,13.95952911
914.866,H,11.913358,26.417855,64.484453,13.63441467
919.602,H,12.988651,26.597747,63.70192,13.49511422
924.339,H,13.57519,26.861995,63.77427,13.35754889
929.075,H,13.983841,27.038271,64.390856,13.4048867
933.812,H,14.071704,26.994367,63.952076,13.43018867
938.549,H,13.972223,26.618178,63.364255,13.29262051
943.285,H,13.626304,26.069655,62.77445,13.30201249
948.022,H,13.411485,25.5832915,61.475724,13.22725623
952.758,H,12.795755,24.489899,58.80901,12.50945231
957.495,H,12.691617,24.373568,58.271736,12.49293481
962.231,H,12.606636,24.474627,58.149356,12.51793955
966.968,H,12.698849,24.4979635,58.6333,12.55612141
971.704,H,12.947252,24.7960275,58.743167,12.48795719
976.441,H,13.283208,25.245175,59.19347,12.52730185
981.178,H,13.618676,25.609069,59.395,12.49404256
985.914,H,13.912515,25.833784,60.072374,12.50581424
990.651,H,14.109743,26.164117,60.85157,12.59524055
995.387,H,14.46541,26.570257,61.31687,12.7749542
1000.12,H,14.671467,27.0045925,61.95437,12.93697074
1004.86,H,14.681892,27.387243,62.85311,13.16181248
1009.6,H,14.930555,27.7656925,63.89557,13.373263
1014.33,H,15.18162,28.14172,65.054744,13.63355507
1019.07,H,15.30953,28.477478,66.37099,13.90163998
1023.81,H,15.449183,28.871473,67.626375,14.17414368
1028.54,H,15.555556,29.2336235,68.719673,14.4162304
1033.28,H,15.827575,29.733317,70.025486,14.69011695
1038.02,H,16.105524,30.160752,70.98907,14.92373887
1042.75,H,16.378462,30.7440075,72.08944,15.16168147
1047.49,H,16.633065,31.173207,72.80691,15.35607143
1052.23,H,16.966513,31.553755,75.15236,15.5705725
1056.96,H,17.136548,32.1403665,75.82041,15.84883528
1061.7,H,17.299007,32.7920965,76.54243,16.11696986
1066.44,H,17.486161,32.9948635,77.586824,16.31932454
1071.17,H,17.566445,33.199685,77.62826,16.41623875
1075.91,H,17.632242,33.1632835,77.7082,16.32177502
1080.65,H,17.871326,33.1728445,77.73312,16.12304163
1085.38,H,17.24846,32.795681,76.13742,15.91262459
1090.12,H,17.192268,32.287383,75.76087,15.6660994
1094.85,H,17.039403,31.88109,74.509805,15.45580891
1099.59,H,16.470589,31.346684,73.75133,15.32406918
1104.33,H,16.116871,30.677723,72.54902,15.26870442
1109.06,H,15.537849,29.988325,70.54455,15.14118816
1113.8,H,15.321375,29.26932,69.39068,14.93399881
1118.54,H,14.655717,28.173575,67.01434,14.42794512
1123.27,H,13.733228,26.5352535,63.11971,13.6187861
1128.01,H,12.541074,24.165993,58.342075,12.52892755
1132.75,H,11.219081,21.7771955,52.087915,11.27474986
1137.48,H,9.945184,19.4135875,47.13376,10.17221245
1142.22,H,9.0158045,17.733402,42.974615,9.339223864
1146.96,H,8.6108305,16.772309,40.580204,8.787464925
1151.69,H,8.179897,16.0147495,39.07738,8.447354868
1156.43,H,7.992037,15.542689,38.146067,8.223528199
1161.17,H,7.8228086,15.2927535,37.605262,8.133567904
1165.9,H,7.723949,15.079291,37.368292,8.045213818
1170.64,H,7.568547,14.8245195,36.64853,7.937020573
1175.38,H,7.379284,14.4730495,35.974994,7.778699736
1180.11,H,7.214612,14.266839,35.425764,7.634211222
1184.85,H,7.183,14.103972,35.002646,7.535694469
1189.59,H,7.183121,13.992714,34.719712,7.494812748
1194.32,H,7.0379436,13.859006,34.739456,7.469931143
1199.06,H,7.0958644,13.842444,34.46182,7.464829126
1203.8,H,7.1374334,13.8997745,34.79614,7.509836231
1208.53,H,7.235325,14.206928,35.46326,7.661656764
1213.27,H,7.486293,14.61445,37.014315,7.90148887
1218.01,H,7.859079,15.209445,38.543853,8.192189556
1222.74,H,8.160893,15.6478545,39.693877,8.406381895
1227.48,H,8.431044,16.0405175,40.533188,8.645840008
1232.22,H,8.475509,16.2943445,41.481265,8.843522963
1236.95,H,8.691835,16.6931475,42.312387,9.007324297
1241.69,H,8.859623,16.994645,42.323902,9.113372096
1246.42,H,8.956547,17.1656505,42.536443,9.230522153
1251.16,H,8.910607,17.2842085,42.742175,9.248920277
1255.9,H,8.905579,17.3235385,42.86177,9.347875437
1260.63,H,8.819914,17.2601005,43.25105,9.350543138
1265.37,H,8.769879,17.2333855,42.727274,9.339608304
1270.11,H,8.7417215,16.980919,42.531356,9.2829929
1274.84,H,8.584925,16.853578,42.276797,9.228202174
